Scheme,Attack Coverage,Provence Score,Feature Diversity,Documentation & Metadata,Evaluation Readiness,Availability
Equal,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
Provenance-emphasis,0.13999999999999999,0.3,0.13999999999999999,0.13999999999999999,0.13999999999999999,0.13999999999999999
Evaluation-readiness emphasis,0.13999999999999999,0.13999999999999999,0.13999999999999999,0.13999999999999999,0.3,0.13999999999999999
